file.name,FilePath,ARU_ID,Date,JDate,year,Time,BinStarts,BinStarts_sec_past_midn,sunrise_sec_past_midn,songs_1,songs_2,songs_3,songs_4,songs_5,songs_6,others,listened,standardized_bs,two_min_sc
AB_01_1_2016-06-22_41159_0.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160622_041159.wav,AB_01_1,2016-06-22,174,2016,4:11:59,0,15119,16004,0,0,0,0,0,0,n,y,Paired,0
AB_01_1_2016-06-22_41159_480.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160622_041159.wav,AB_01_1,2016-06-22,174,2016,4:11:59,480,15599,16004,0,0,0,0,0,0,n,y,Paired,0
AB_01_1_2016-06-23_34200_0.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160623_034200.wav,AB_01_1,2016-06-23,175,2016,3:42:00,0,13320,16026,7,7,7,7,7,7,n,n,Paired,42
AB_01_1_2016-06-23_34200_120.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160623_034200.wav,AB_01_1,2016-06-23,175,2016,3:42:00,120,13440,16026,7,7,7,7,7,6,n,n,Paired,41
AB_01_1_2016-06-23_43157_240.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160623_043157.wav,AB_01_1,2016-06-23,175,2016,4:31:57,240,16557,16026,0,0,0,0,0,0,n,n,Paired,0
AB_01_1_2016-06-26_35401_120.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160626_035401.wav,AB_01_1,2016-06-26,178,2016,3:54:01,120,14161,16117,4,3,4,5,5,5,n,n,Paired,26
AB_01_1_2016-06-26_42358_360.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160626_042358.wav,AB_01_1,2016-06-26,178,2016,4:23:58,360,16198,16117,0,0,0,0,0,0,n,n,Paired,0
AB_01_1_2016-06-26_43357_240.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160626_043357.wav,AB_01_1,2016-06-26,178,2016,4:33:57,240,16677,16117,0,0,0,0,0,0,n,y,Paired,0
AB_01_1_2016-06-26_43357_360.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160626_043357.wav,AB_01_1,2016-06-26,178,2016,4:33:57,360,16797,16117,0,0,0,0,0,0,n,n,Paired,0
AB_01_1_2016-06-27_34400_120.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160627_034400.wav,AB_01_1,2016-06-27,179,2016,3:44:00,120,13560,16155,2,2,1,4,3,0,n,y,Feeding Young,12
AB_01_1_2016-06-27_34400_240.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160627_034400.wav,AB_01_1,2016-06-27,179,2016,3:44:00,240,13680,16155,3,4,3,5,1,3,n,n,Feeding Young,19
AB_01_1_2016-06-27_34400_360.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160627_034400.wav,AB_01_1,2016-06-27,179,2016,3:44:00,360,13800,16155,6,6,6,6,5,4,n,n,Feeding Young,33
AB_01_1_2016-06-27_34400_480.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160627_034400.wav,AB_01_1,2016-06-27,179,2016,3:44:00,480,13920,16155,5,4,5,5,4,5,n,n,Feeding Young,28
AB_01_1_2016-06-27_35401_0.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160627_035401.wav,AB_01_1,2016-06-27,179,2016,3:54:01,0,14041,16155,6,5,4,6,6,6,n,n,Feeding Young,33
AB_01_1_2016-06-27_35401_120.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160627_035401.wav,AB_01_1,2016-06-27,179,2016,3:54:01,120,14161,16155,3,6,5,5,6,6,n,n,Feeding Young,31
AB_01_1_2016-06-27_40400_0.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160627_040400.wav,AB_01_1,2016-06-27,179,2016,4:04:00,0,14640,16155,5,4,5,5,2,3,n,n,Feeding Young,24
AB_01_1_2016-06-27_40400_360.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160627_040400.wav,AB_01_1,2016-06-27,179,2016,4:04:00,360,15000,16155,5,5,6,5,6,5,n,n,Feeding Young,32
AB_01_1_2016-06-27_41359_120.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160627_041359.wav,AB_01_1,2016-06-27,179,2016,4:13:59,120,15359,16155,0,0,0,0,0,0,n,n,Feeding Young,0
AB_01_1_2016-06-27_41359_360.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160627_041359.wav,AB_01_1,2016-06-27,179,2016,4:13:59,360,15599,16155,0,0,0,0,0,0,n,n,Feeding Young,0
AB_01_1_2016-06-27_41359_480.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160627_041359.wav,AB_01_1,2016-06-27,179,2016,4:13:59,480,15719,16155,0,0,0,0,0,0,n,n,Feeding Young,0
AB_01_1_2016-06-27_42358_0.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160627_042358.wav,AB_01_1,2016-06-27,179,2016,4:23:58,0,15838,16155,0,0,0,0,0,0,n,n,Feeding Young,0
AB_01_1_2016-06-27_42358_120.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160627_042358.wav,AB_01_1,2016-06-27,179,2016,4:23:58,120,15958,16155,0,0,0,0,0,0,n,n,Feeding Young,0
AB_01_1_2016-06-27_42358_480.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160627_042358.wav,AB_01_1,2016-06-27,179,2016,4:23:58,480,16318,16155,0,0,0,0,1,0,n,y,Feeding Young,1
AB_01_1_2016-06-27_43357_0.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160627_043357.wav,AB_01_1,2016-06-27,179,2016,4:33:57,0,16437,16155,0,0,0,0,0,0,n,n,Feeding Young,0
AB_01_1_2016-06-27_43357_120.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160627_043357.wav,AB_01_1,2016-06-27,179,2016,4:33:57,120,16557,16155,0,0,0,0,0,0,n,y,Feeding Young,0
AB_01_1_2016-06-27_43357_360.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160627_043357.wav,AB_01_1,2016-06-27,179,2016,4:33:57,360,16797,16155,0,0,0,0,0,0,n,n,Feeding Young,0
AB_01_1_2016-06-28_34500_120.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160628_034500.wav,AB_01_1,2016-06-28,180,2016,3:45:00,120,13620,16198,3,4,2,1,2,4,n,n,Feeding Young,16
AB_01_1_2016-06-28_35501_120.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160628_035501.wav,AB_01_1,2016-06-28,180,2016,3:55:01,120,14221,16198,4,1,3,2,4,6,n,n,Feeding Young,20
AB_01_1_2016-06-28_35501_240.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160628_035501.wav,AB_01_1,2016-06-28,180,2016,3:55:01,240,14341,16198,3,6,4,4,3,5,n,n,Feeding Young,25
AB_01_1_2016-06-28_35501_360.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160628_035501.wav,AB_01_1,2016-06-28,180,2016,3:55:01,360,14461,16198,6,5,5,4,2,3,n,n,Feeding Young,25
AB_01_1_2016-06-28_40500_0.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160628_040500.wav,AB_01_1,2016-06-28,180,2016,4:05:00,0,14700,16198,3,3,2,4,3,5,n,n,Feeding Young,20
AB_01_1_2016-06-28_40500_240.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160628_040500.wav,AB_01_1,2016-06-28,180,2016,4:05:00,240,14940,16198,5,5,4,5,5,4,n,n,Feeding Young,28
AB_01_1_2016-06-28_40500_360.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160628_040500.wav,AB_01_1,2016-06-28,180,2016,4:05:00,360,15060,16198,3,4,4,3,3,3,n,n,Feeding Young,20
